,,,PROGRAMAÇÃO DE CARGAS - Produção,,,,,,,,,,,,,,,,Código:,PQ VE-001-000,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Setor Comercial,,,,,,,,,,,,,,,,27/05/2022 13:08:22,,,,
"TP,",Datas,Carga,Distancia,Uf,Cidade,Pessoa,Dias,Recurso,Qde Ped,Valor Total,Caç / Plat,Diant,Lat,Tras,Chas,Içam,Eixo,SupE,5ª R,Fueiros / Acess TQ,Fx Molas,,
1-Produtos,"seg., 09/05/22",Carga 01,"0,00","
 CE
  
 ",Fortaleza,CequipFilial-FortalezaCE,16,494689 - MACACO COMPLETO ANTIGO [CBHM M12],"1,00","720,00",  ,,,                 ,,,,,,,,,PEDIDO À VISTA
,09/05/2022 Total,,,,,,,,"1,00","720,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,"qui., 19/05/22",GARANTIA,"780,00","
 PE
  
 ",Recife,Veneza-RecifePE,-3,025860CO - EIXO DIANTEIRO COMPLETO SS CINZA [CBHM6000-2E M14],"1,00","0,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,19/5/2022 Total,,,,,,,,"1,00","0,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,"seg., 23/05/22",CARGA 04,"812,00","
 PI
  
 ",Canto do Buriti,ITAUEIRA PI-11,-35,027197 - TIRANTE - ENCANTEIRADOR DE 03 LINHAS - REDUZIDO,"6,00","2.628,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,23/05/2022 Total,,,,,,,,"6,00","2.628,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
,"sex., 27/05/22",CARGA 01,"2.185,00","
 GO
  
 ",Porangatu,MultiTratores-PorangatuGO,34,F6 CS RS/RS A45 P750(I) M22 - Carreta Madeira Fixa 6t RS/RS de 2 Eixos - Comp Naval - ALT 45 - C/ MOLAS + PNEUS - Freios não Incluídos,"2,00","53.000,00",  ,,,                 ,,,,,,,,,GARANTIA
,,,"2.549,00","
 GO
  
 ",Rio Verde,Comigo-RioVerdeGO,34,"F6B SS RS/RD M22 - Carreta Madeira Fixa 6t RS/RD de 2 Eixos – PLATAFORMA - Molas, Freios e Pneus não Incluídos","6,00","119.880,00",  ,,,                 ,,,,,,,,,GARANTIA
,,,Caiaponia Cadastrar Distancia,"
 GO
  
 ",Caiaponia,Cerrado-CaiapôniaGO,4,"FTC6500 SS RS/RS PL M22 - Carreta Tanque (6500L) RS/RS de 2 Eixos - TANQUE - PLAT P/ BOMBA - Molas, Freios e Pneus não Incluídos","2,00","55.000,00",  ,,,                 ,,,,,,,,,LIMITE SERASA BAIXO
